,date,time,latitude,longitude,depth,magnitude,magnitude_type
248,2017-07-21,12:28:00.446105,36.89941406,27.34863281,15623.04688,3.339067833,MLh
249,2012-05-16,12:29:42.020000,36.8505,27.5847,27000.0,2.4,MLh
250,2017-11-14,12:32:08.253383,36.89941406,27.58300781,32979.81771,3.023017834,MLh
251,2017-07-27,12:32:22.880000,36.9222,27.5437,12400.0,3.1,MLh
252,2017-08-05,12:39:38.220000,36.9003,27.3548,15800.0,2.6,MLh
253,2012-05-21,12:45:15.250000,36.972,27.5618,30700.0,3.1,MLh
254,2017-08-18,12:47:34.570000,36.8897,27.5702,18300.0,3.9,MLh
255,2017-07-21,12:48:47.640000,36.9648,27.5982,13600.0,3.1,MLh
256,2017-07-27,12:50:02.460000,36.89,27.4275,16600.0,3.0,MLh
257,2017-07-22,12:52:32.390000,36.9463,27.3615,11600.0,2.9,MLh
258,2017-07-23,13:01:05.350000,36.9378,27.3897,11500.0,3.1,MLh
259,2017-07-22,13:04:08.600000,36.9082,27.3642,11800.0,3.0,MLh
260,2018-04-16,13:09:56.070000,36.9463,27.329,10900.0,2.6,MLh
261,2017-09-10,13:10:06.250000,36.8615,27.3167,14100.0,2.4,MLh
262,2017-08-03,13:17:56.152641,36.94335938,27.56835938,16410.15625,3.606935223,MLh
263,2014-08-15,13:19:31.940000,36.9628,27.3132,29000.0,2.6,MLh
264,2017-07-22,13:20:05.870000,36.9695,27.5693,7800.0,3.4,MLh
265,2017-08-21,13:30:34.710000,36.9148,27.5603,12100.0,2.8,MLh
266,2013-09-25,13:37:32.550000,36.8243,27.4485,20800.0,2.2,MLh
267,2017-07-24,13:39:28.130000,36.9425,27.5358,12300.0,3.4,MLh
268,2017-07-21,13:42:10.222095,36.97265625,27.36328125,13382.8125,3.275126722,MLh
269,2014-04-07,13:42:53.880000,36.9867,27.3987,26700.0,2.6,MLh
270,2018-02-02,13:59:09.020000,36.9917,27.5195,12800.0,3.0,MLh
271,2013-11-21,13:59:25.670000,36.8153,27.4048,28400.0,2.8,MLh
272,2018-02-04,13:59:38.580000,36.9123,27.3997,16400.0,2.7,MLh
